name
'3D Dev'
'3D Viewer'
'Adaptable I/O'
'Ad Blocking'
'Aerial Photogrammetry'
'Apache Airflow Provider'
'API Dev Framework'
'API Query Language'
'App Deployment'
'App Dev'
'Architectural Engineering and Construction (AEC)'
'Audio Editor'
'Auth'
'Backup'
'Badge Generation'
'Batch Processing'
'Bitmap Serialization'
'Blockchain'
'Build Automation'
'Caching'
'Chatbots'
'Chess Engine'
'Chrome Extension'
'C Library'
'Cloud Native Java'
'Code Analysis / Analytics'
'Code Editor'
'Code Formatter'
'Code Snippets'
'Collaboration'
'Compiler'
'Container Management'
'Container Registry'
'Container Runtime'
'Container Signing'
'Container System'
'Content Delivery Network (CDN)'
'Content Management System (CMS)'
'Continuous Delivery'
'Continuous Inspection'
'Cost Allocation'
'Creative Design'
'Cryptography'
'CSS Animation Library'
'CSS Framework'
'Database'
'Data Binding'
'Data Discovery'
'Data Exploration'
'Data Gateway'
'Data Lineage'
'Data Management'
'Data Observability'
'Data Parsing'
'Data Processing Engine'
'Data Quality'
'Data Serialization'
'Data Serving'
'Data Sync'
'Data Version Control'
'Data Visualization'
'Deep Learning / ML / AI'
'Developer Portal Platform'
'Device Management'
'Diagramming'
'Digital Painting'
'Distributed Processing'
'Distributed Transaction Management'
'DNS'
'Documentation'
'Documentation Generator'
'E-book Manager'
'e-commerce'
'Email Client'
'Emulator'
'Encryption'
'Enterprise Resource Planning (ERP)'
'Ethereum Implementation'
'Event Streaming Platform'
'Feature Flagging'
'File Explorer'
'File System'
'Front-end Framework'
'Game'
'Game Engine'
'Gateway'
'Go Client'
'Graph Computing'
'GraphQL Backend'
'Growth Marketing'
'Hadoop'
'Headless Chrome Node.js API'
'Healthcare'
'Heroku CLI Plugin'
'Home Automation'
'HTML Presentation Framework'
'HTTP Client'
'Icon Toolkit'
'Image Processing'
'Infrastructure Configuration'
'In-Memory Processing'
'Instant Messaging'
'Integrated Office Suite'
'Integration Platform'
'IT Automation Platform'
'Java Client'
'Java Library'
'Javascript Bundler'
'Javascript Compiler'
'Javascript Datetime Picker'
'Javascript Dialect'
'Javascript Library'
'Javascript Runtime'
'Kubernetes Dev'
'Kubernetes Management'
'Kubernetes SDK'
'Learn to Code'
'Link Page'
'Linux Distribution'
'Live Streaming'
'Load Balancer'
'Logging'
'Mapping & Navigation'
'Market Terminal'
'Media Player'
'Media Player'
'Media Server'
'Messaging'
'Metadata Platform'
'Microblogging'
'MLOps Framework'
'Motion Capture'
'Multimedia Processing'
'Native App Framework'
'Networking'
'Network Security'
'Newsletter Manager'
'Operating System'
'OSS Extensions'
'Package Management'
'Password Management'
'Performance Monitoring'
'Personal Finance'
'Photography Workflow'
'Photo Sharing'
'Policy Engine'
'Privacy'
'Productivity'
'Programming Language'
'Prototyping'
'Python Library'
'Quiz Application'
'Rails Admin Interface'
'React Libary'
'Remote Desktop'
'Replication Monitoring'
'Robotic Process Automation (RPA)'
'RPC Framework'
'Ruby Gem'
'Ruby REST Client'
'Ruby Toolkit'
'Rust Runtime'
'Scheduling'
'Search Engine'
'Secrets Management'
'Serverless'
'Service Coordination'
'Service Mesh'
'Service Proxy'
'Simulators'
'Smart Spreadsheet'
'Specification'
'Sprite Editor'
'SQL Query Engine'
'Storage'
'Stream Processing'
'Submission Management'
'Syntax Highlighting'
'Synthetic Data Generation'
'System Monitoring'
'Task Crowdsourcing'
'Task Queuing'
'Templates'
'Terminal'
'Terrain Generator'
'Test Automation'
'Testing'
'Text Editor'
'Time Series Forecasting'
'TLS'
'Tracing'
'TypeScript Type Definitions'
'UI Component Explorer'
'UI Component Framework'
'User Event Collection'
'Utilities'
'Vector Similarity Search Engine'
'Version Control'
'Video Conferencing'
'Video Editor'
'Video Transcoder'
'VPN'
'Vulnerability Scanner'
'Web Analytics'
'Web-Based Computing'
'Web Browser'
'Web Component Framework'
'Web Monitoring'
'Web Server'
'Website Generator'
'Wiki'
'Workflow Orchestration'
'zsh Configuration'
